domain_key,section_key,pair_key,focus_area,guidance_type,signal_key,guidance_text,linked_claim_type,priority,authoring_status,notes,ready_for_import
leadership-approach,application,results_process,rely_on,applied_strength,process,"Rely on your ability to turn uncertainty into a workable operating path. Use process to make standards visible, responsibilities explicit, and progress easier to inspect. This is a genuine leadership asset when people need clarity and the work needs discipline.",applied_strength,1,complete,Gold-standard process applied strength row,TRUE
leadership-approach,application,results_process,rely_on,applied_strength,results,"Use your results orientation to define what progress needs to prove, but avoid turning every conversation into a delivery test.",applied_strength,1,complete,Gold-standard results applied strength row,TRUE
leadership-approach,application,results_process,rely_on,applied_strength,results,"Also rely on your results orientation, but apply it with judgement. Let the demand for progress sharpen priorities without allowing it to compress every conversation into an execution question. Some delays are performance problems. Others are information about confidence, trust, or readiness.",applied_strength,2,complete,Gold-standard results applied strength row,TRUE
leadership-approach,application,results_process,rely_on,applied_strength,vision,"Use Vision to keep disciplined work connected to a wider destination, especially when the operating detail could otherwise dominate the room.",applied_strength,1,complete,Gold-standard vision applied strength row,TRUE
leadership-approach,application,results_process,rely_on,applied_strength,vision,"Use Vision more deliberately as the bridge between discipline and meaning. When people understand why the structure matters, they are more likely to experience it as enabling rather than controlling. Make the destination clear enough that the process feels connected to purpose, not only to compliance.",applied_strength,2,complete,Gold-standard vision applied strength row,TRUE
leadership-approach,application,results_process,notice,watchout,process,"Notice when the system is becoming clearer faster than people are becoming ready. Strong process is most useful when it includes the human conditions that will carry it.",watchout,1,complete,Gold-standard process watchout row,TRUE
leadership-approach,application,results_process,notice,watchout,results,"Notice when the pressure for visible progress starts narrowing the questions being asked. Useful delay may be telling you something about confidence, trust, or readiness.",watchout,1,complete,Gold-standard results watchout row,TRUE
leadership-approach,application,results_process,notice,watchout,results,"Notice when results pressure is compressing the conversation too early. The work may be moving, but the level of ownership behind that movement may still be thin.",watchout,2,complete,Gold-standard results watchout row,TRUE
leadership-approach,application,results_process,notice,watchout,people,"Notice weak commitment signals before they become execution friction. Low energy, formal agreement, or quiet compliance may mean the missing work is relational rather than procedural.",watchout,1,complete,Gold-standard people watchout row,TRUE
leadership-approach,application,results_process,notice,watchout,people,"Notice the moments when People is being treated as a downstream concern. If the plan is clear but energy is low, if agreement sounds formal but not owned, or if stakeholders comply without contributing, the missing work is probably relational rather than procedural.",watchout,2,complete,Gold-standard people watchout row,TRUE
leadership-approach,application,results_process,develop,development_focus,people,"Develop the habit of bringing human readiness into the first version of the plan. Before locking the route, ask who is carrying the cost, who has not yet trusted the direction, and what conversations would make execution more durable. This does not weaken your Process and Results pattern. It makes it more commercially reliable, because leadership that earns commitment usually travels further than leadership that only secures completion.",development_focus,1,complete,Gold-standard people development focus row,TRUE
leadership-approach,application,results_process,develop,development_focus,vision,"Develop the discipline of stating the purpose behind the process before people start debating the process itself.",development_focus,1,complete,Gold-standard vision development focus row,TRUE
leadership-approach,application,results_process,develop,development_focus,vision,"Develop Vision as an active communication bridge. Use it to show why the structure matters, what it enables, and how the immediate work connects to a broader leadership intent.",development_focus,2,complete,Gold-standard vision development focus row,TRUE
leadership-approach,application,results_process,develop,development_focus,results,"Develop a sharper distinction between urgency that helps and urgency that narrows the room. The strongest result focus still leaves space for the information that protects long-term delivery.",development_focus,1,complete,Gold-standard results development focus row,TRUE
leadership-approach,application,results_process,develop,development_focus,results,"Develop your ability to hold outcome pressure while still testing commitment. Before escalating pace, ask whether the team understands the goal, trusts the route, and has the conditions needed to own the work.",development_focus,2,complete,Gold-standard results development focus row,TRUE
leadership-approach,application,results_process,rely_on,applied_strength,process,,applied_strength,2,todo,Optional second process applied strength row,FALSE
leadership-approach,application,results_process,notice,watchout,process,,watchout,2,todo,Optional second process watchout row,FALSE
leadership-approach,application,results_process,develop,development_focus,process,,development_focus,1,todo,Optional process development focus row,FALSE
leadership-approach,application,results_process,develop,development_focus,process,,development_focus,2,todo,Optional second process development focus row,FALSE
leadership-approach,application,results_process,notice,watchout,vision,,watchout,1,todo,Optional vision watchout row,FALSE
leadership-approach,application,results_process,notice,watchout,vision,,watchout,2,todo,Optional second vision watchout row,FALSE
leadership-approach,application,results_process,rely_on,applied_strength,people,,applied_strength,1,todo,Optional people applied strength row,FALSE
leadership-approach,application,results_process,rely_on,applied_strength,people,,applied_strength,2,todo,Optional second people applied strength row,FALSE
leadership-approach,application,results_process,develop,development_focus,people,,development_focus,2,todo,Optional second people development focus row,FALSE
